tournament,match_info,status,team_ateam_a, team_b,score,time
مباريات ودية -أندية,مبارة ودية,لم تبدأ,الهلال,بالينجن,"""- - -""",19:30
مباريات ودية -أندية,مبارة ودية,لم تبدأ,أرسنال,فياريال,"""- - -""",20:00
مباريات ودية -أندية,مبارة ودية,لم تبدأ,أستون فيلا,روما,"""- - -""",21:30
مباريات ودية -أندية,مبارة ودية,لم تبدأ,الهلال,بالينجن,"""- - -""",19:30
مباريات ودية -أندية,مبارة ودية,لم تبدأ,أرسنال,فياريال,"""- - -""",20:00
مباريات ودية -أندية,مبارة ودية,لم تبدأ,أستون فيلا,روما,"""- - -""",21:30
الدوري المصري,الأسبوع الأول,الشوط الثاني,المقاولون العرب,زد,"""0 - 1""",18:00
الدوري المصري,الأسبوع الأول,الشوط الثاني,سموحة,طلائع الجيش,"""1 - 1""",18:00
الدوري المصري,الأسبوع الأول,لم تبدأ,الإسماعيلي,بتروجيت,"""- - -""",21:00
الدوري المصري,الأسبوع الأول,لم تبدأ,مودرن سبورت,الأهلي,"""- - -""",21:00
الدوري التونسي,الأسبوع الأول,الشوط الأول,مستقبل قابس,الترجى الرياضي,"""0 - 0""",18:30
الدوري التونسي,الأسبوع الأول,الشوط الأول,شبيبة القيروان,سليمان الرياضي,"""0 - 0""",18:30
الدوري التونسي,الأسبوع الأول,الشوط الأول,الافريقي التونسي,مستقبل المرسى,"""0 - 0""",18:30
الدوري التونسي,الأسبوع الأول,الشوط الأول,النجم الرياضي بالمتلوي,البنزرتي,"""0 - 0""",18:30
الدوري البرتغالي,الأسبوع الأول,الشوط الثاني,ناسيونال ماديرا,جل فيسنتي,"""0 - 2""",17:30
الدوري البرتغالي,الأسبوع الأول,لم تبدأ,أروكا,اي في اس فوتبول,"""- - -""",22:30
الدوري التركي,الأسبوع الأول,لم تبدأ,سامسون سبور,جنتشلربيرليجي,"""- - -""",19:00
الدوري التركي,الأسبوع الأول,لم تبدأ,انطاليا سبور,قاسم باشا,"""- - -""",21:30
مباريات ودية -أندية,مبارة ودية,انتهت,فيردر بريمن,أودينيزي,"""0 - 1""",12:30
مباريات ودية -أندية,مبارة ودية,انتهت,مانشستر يونايتد,فيورنتينا,"""1 - 1""",14:45
مباريات ودية -أندية,مبارة ودية,انتهت,كولن,أتالانتا,"""4 - 0""",16:30
مباريات ودية -أندية,مبارة ودية,مباشر,فرايبورج,أوساسونا,"""1 - 1""",16:30
مباريات ودية -أندية,مبارة ودية,انتهت,هايدنهايم,بارما,"""2 - 1""",16:30
مباريات ودية -أندية,مبارة ودية,انتهت,ماينز,ستراسبورج,"""0 - 0""",16:30
مباريات ودية -أندية,مبارة ودية,انتهت,يونيون برلين,أوليمبياكوس,"""0 - 1""",16:30
مباريات ودية -أندية,مبارة ودية,مباشر,بيرنلي,لاتسيو,"""0 - 1""",17:00
مباريات ودية -أندية,مبارة ودية,مباشر,ايفرتون,روما,"""0 - 1""",17:00
مباريات ودية -أندية,مبارة ودية,مباشر,ليدز يونايتد,ميلان,"""1 - 1""",17:00
مباريات ودية -أندية,مبارة ودية,مباشر,وست هام يونايتد,ليل,"""0 - 1""",17:00
مباريات ودية -أندية,مبارة ودية,مباشر,وولفرهامبتون,سيلتا فيجو,"""0 - 1""",17:00
مباريات ودية -أندية,مبارة ودية,مباشر,نيوكاسل,اتلتيكو مدريد,"""0 - 0""",18:00
مباريات ودية -أندية,مبارة ودية,مباشر,أرسنال,أتلتيك بلباو,"""0 - 0""",19:00
مباريات ودية -أندية,مبارة ودية,مباشر,برايتون,فولفسبورج,"""0 - 0""",19:00
مباريات ودية -أندية,مبارة ودية,مباشر,فولهام,آ. فرانكفورت,"""0 - 0""",19:00
مباريات ودية -أندية,مبارة ودية,مباشر,لانس,لايبزيج,"""0 - 0""",19:00
مباريات ودية -أندية,مبارة ودية,لم تبدأ,مارسيليا,أستون فيلا,"""- - -""",20:00
مباريات ودية -أندية,مبارة ودية,لم تبدأ,نانت,نادي باريس,"""- - -""",20:00
مباريات ودية -أندية,مبارة ودية,لم تبدأ,نابولي,جيرونا,"""- - -""",20:00
مباريات ودية -أندية,مبارة ودية,لم تبدأ,غرناطه,العين,"""- - -""",21:00
مباريات ودية -أندية,مبارة ودية,لم تبدأ,نوتينجهام فورست,القادسية,"""- - -""",21:45
مباريات ودية -أندية,مبارة ودية,لم تبدأ,مانشستر سيتي,باليرمو,"""- - -""",22:00
مباريات ودية -أندية,مبارة ودية,لم تبدأ,فالنسيا,تورينو,"""- - -""",22:00
الدرع الخيرية,النهائي,انتهت,كريستال بالاس,ليفربول,"""2 - 2""",17:00
الدوري المصري,الأسبوع الأول,انتهت,كهرباء الإسماعيلية,الجونة,"""0 - 1""",18:00
الدوري المصري,الأسبوع الأول,لم تبدأ,فاركو,إنبي,"""- - -""",21:00
الدوري المصري,الأسبوع الأول,لم تبدأ,البنك الاهلي,غزل المحلة,"""- - -""",21:00
الدوري التونسي,الأسبوع الأول,انتهت,شبيبة العمران,النجم الساحلى,"""3 - 1""",18:30
الدوري التونسي,الأسبوع الأول,انتهت,الإتحاد المنستيري,الملعب التونسي,"""1 - 1""",18:30
الدوري التونسي,الأسبوع الأول,انتهت,الصفاقســــي,الترجي الجرجيسي,"""1 - 2""",18:30
الدوري التونسي,الأسبوع الأول,انتهت,إتحاد بن قردان,الأولمبي الباجي,"""2 - 0""",18:30
الدوري البرتغالي,الأسبوع الأول,الشوط الثاني,فاماليكاو,سانتا كلارا,"""3 - 0""",19:00
الدوري البرتغالي,الأسبوع الأول,لم تبدأ,سبورتينج براجا,تونديلا,"""- - -""",22:30
الدوري البرتغالي,الأسبوع الأول,لم تبدأ,موريرنسي,ألفيركا,"""- - -""",22:30
الدوري التركي,الأسبوع الأول,الشوط الثاني,ريزه سبور,جوزتيبي,"""0 - 1""",19:00
الدوري التركي,الأسبوع الأول,لم تبدأ,ايوبسبور,قونيا سبور,"""- - -""",21:30
مباريات ودية -أندية,مبارة ودية,انتهت,تشيلسي,ميلان,"""4 - 1""",17:00
مباريات ودية -أندية,مبارة ودية,انتهت,بروسيا دورتموند,يوفنتوس,"""1 - 2""",18:30
مباريات ودية -أندية,مبارة ودية,مباشر,السد القطري,الوداد البيضاوي,"""0 - 0""",19:30
مباريات ودية -أندية,مبارة ودية,مباشر,الميريا,النصر,"""0 - 0""",20:00
مباريات ودية -أندية,مبارة ودية,لم تبدأ,برشلونة,كومو,"""- - -""",22:00
مباريات ودية -أندية,مبارة ودية,لم تبدأ,فياريال,أستون فيلا,"""- - -""",22:00
الدرع الخيرية,النهائي,انتهت,كريستال بالاس,ليفربول,"""2 - 2""",17:00
الدوري المصري,الأسبوع الأول,انتهت,كهرباء الإسماعيلية,الجونة,"""0 - 1""",18:00
الدوري المصري,الأسبوع الأول,انتهت,فاركو,إنبي,"""0 - 0""",21:00
الدوري المصري,الأسبوع الأول,انتهت,البنك الاهلي,غزل المحلة,"""0 - 0""",21:00
الدوري التونسي,الأسبوع الأول,انتهت,شبيبة العمران,النجم الساحلى,"""3 - 1""",18:30
الدوري التونسي,الأسبوع الأول,انتهت,الإتحاد المنستيري,الملعب التونسي,"""1 - 1""",18:30
الدوري التونسي,الأسبوع الأول,انتهت,الصفاقســــي,الترجي الجرجيسي,"""1 - 2""",18:30
الدوري التونسي,الأسبوع الأول,انتهت,إتحاد بن قردان,الأولمبي الباجي,"""2 - 0""",18:30
الدوري البرتغالي,الأسبوع الأول,انتهت,فاماليكاو,سانتا كلارا,"""3 - 0""",19:00
الدوري البرتغالي,الأسبوع الأول,الشوط الثاني,سبورتينج براجا,تونديلا,"""2 - 0""",22:30
الدوري البرتغالي,الأسبوع الأول,الشوط الثاني,موريرنسي,ألفيركا,"""1 - 1""",22:30
الدوري التركي,الأسبوع الأول,انتهت,ريزه سبور,جوزتيبي,"""0 - 3""",19:00
الدوري التركي,الأسبوع الأول,انتهت,ايوبسبور,قونيا سبور,"""1 - 4""",21:30
مباريات ودية -أندية,مبارة ودية,انتهت,تشيلسي,ميلان,"""4 - 1""",17:00
مباريات ودية -أندية,مبارة ودية,انتهت,بروسيا دورتموند,يوفنتوس,"""1 - 2""",18:30
مباريات ودية -أندية,مبارة ودية,انتهت,السد القطري,الوداد البيضاوي,"""1 - 1""",19:30
مباريات ودية -أندية,مبارة ودية,انتهت,الميريا,النصر,"""3 - 2""",20:00
مباريات ودية -أندية,مبارة ودية,انتهت,برشلونة,كومو,"""5 - 0""",22:00
مباريات ودية -أندية,مبارة ودية,انتهت,فياريال,أستون فيلا,"""0 - 2""",22:00
بطولة الأفرو باسكت,اليوم الأول,انتهت,السنغال,أوغندا,"""88 - 53""",14:00
بطولة الأفرو باسكت,اليوم الأول,مباشر,جنوب السودان,غينيا,"""18 - 23""",16:00
بطولة الأفرو باسكت,اليوم الأول,لم تبدأ,مالي,مصر,"""- - -""",17:00
بطولة الأفرو باسكت,اليوم الأول,لم تبدأ,أنجولا,ليبيا,"""- - -""",21:00
دوري أبطال أوروبا,العودة,لم تبدأ,كاراباج اجدام,شكينديا,"""- - -""",19:00
دوري أبطال أوروبا,العودة,لم تبدأ,كوبنهاجن,مالمو,"""- - -""",20:00
دوري أبطال أوروبا,العودة,لم تبدأ,نادي بافوس,دينامو كييف,"""- - -""",20:00
دوري أبطال أوروبا,العودة,لم تبدأ,فيكتوريا بلزن,جلاسكو رينجرز,"""- - -""",20:00
دوري أبطال أوروبا,العودة,لم تبدأ,فنربخشة,فينورد,"""- - -""",20:00
دوري أبطال أوروبا,العودة,لم تبدأ,كلوب بروج,ريد بول سالزبورج,"""- - -""",20:30
دوري أبطال أوروبا,العودة,لم تبدأ,سلوفان براتيسلافا,نادي كايرات,"""- - -""",21:15
دوري أبطال أوروبا,العودة,لم تبدأ,فيرينكفاروسي,لودوجوريتس,"""- - -""",21:15
دوري أبطال أوروبا,العودة,لم تبدأ,بنفيكا,نيس,"""- - -""",22:00
دوري أبطال أوروبا,العودة,لم تبدأ,سرفينا زافيزدا,ليخ بوزنان,"""- - -""",22:00
مباريات ودية -أندية,مبارة ودية,لم تبدأ,بايرن ميونيخ,جراسهوبرز,"""- - -""",19:00
مباريات ودية -أندية,مبارة ودية,لم تبدأ,ريال مدريد,تيرول,"""- - -""",20:00
مباريات ودية -أندية,مبارة ودية,لم تبدأ,إنتر ميلان,مونزا,"""- - -""",22:00
